eta	 eta	pt	pt	deff	derr	mceff	mcerr	bkg	sig	nlo	tag    sys1  sys2  sys3  sys4		
1.4442	1.566	40.0	50.0	0.8640	0.0050	0.9080	0.0010	0.8640	0.8780	0.9070	0.8660 0     0.014 0.001 0.002
1.566	2.000	40.0	50.0	0.9720	0.0010	0.9770	0.0000	0.9690	0.9700	0.9770	0.9730 0.003 0.002 0     0.001
2.000	2.500	40.0	50.0	0.9330	0.0020	0.9430	0.0000	0.9290	0.9310	0.9450	0.9340 0.004 0.002 0.002 0.001
-2.500	-2.000	50.0	2000.0	0.9490	0.0020	0.9310	0.0010	0.9320	0.9440	0.9290	0.9520 0.017 0.005 0.002 0.003
-2.000	-1.566	50.0	2000.0	0.9650	0.0030	0.9750	0.0000	0.9560	0.9050	0.9730	0.9650 0.009 0.06  0.002 0
-1.566	-1.4442	50.0	2000.0	0.7930	0.0060	0.8630	0.0020	0.7930	0.7470	0.8640	0.9160 0     0.046 0.001 0.123
-1.4442	-0.800	50.0	2000.0	0.9740	0.0010	0.9850	0.0000	0.9670	0.9750	0.9850	0.9740 0.007 0.001 0     0
-0.800	0.000	50.0	2000.0	0.9720	0.0010	0.9870	0.0000	0.9700	0.9690	0.9870	0.9760 0.002 0.003 0     0.004
0.000	0.800	50.0	2000.0	0.9780	0.0010	0.9880	0.0000	0.9740	0.9390	0.9870	0.9790 0.004 0.039 0.001 0.001
0.800	1.4442	50.0	2000.0	0.9730	0.0020	0.9860	0.0000	0.9680	0.9290	0.9860	0.9770 0.005 0.044 0     0.004
1.4442	1.566	50.0	2000.0	0.8220	0.0050	0.8710	0.0020	0.8080	0.6680	0.8690	0.8700 0.014 0.154 0.002 0.048
1.566	2.000	50.0	2000.0	0.9640	0.0010	0.9780	0.0000	0.9550	0.9660	0.9780	0.9680 0.009 0.002 0     0.004
2.000	2.500	50.0	2000.0	0.9350	0.0050	0.9500	0.0010	0.9140	0.8940	0.9500	0.9380 0.021 0.041 0     0.003
